StoreNum,Open Date,State Provinc,Market,Region,Locality Code,Climate Code,Pharmacy_IND,Pickup_IND,SFS_IND,COMP_IND,College_STORE_IND,INCOME_CD,ETHNICITY_CD
162,2014/11/12,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
163,2015/02/23,1,98,401,NULL,NULL,N,N,N,-,N,NULL,NULL
164,2012/08/28,46,98,0,NULL,NULL,N,N,N,-,N,NULL,NULL
165,2012/09/25,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
166,2015/10/27,21,98,406,NULL,NULL,N,N,N,-,N,NULL,NULL
167,2015/12/21,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
168,2016/03/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
169,2016/03/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
170,2016/03/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
171,2016/03/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
172,2016/06/30,46,99,406,NULL,NULL,N,N,N,NULL,N,NULL,NULL
173,2013/01/11,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
174,2013/01/22,1,98,401,NULL,NULL,N,N,N,-,N,NULL,NULL
175,2013/03/01,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
176,2013/06/13,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
177,2013/11/13,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
178,2014/08/09,21,98,406,NULL,NULL,N,N,N,-,N,NULL,NULL
179,2014/09/09,64,98,407,NULL,NULL,N,N,N,-,N,NULL,NULL
180,2016/02/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
181,2016/02/01,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
182,2015/11/23,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
183,2014/09/12,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
184,1980/02/01,46,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
185,2014/08/01,46,95,412,NULL,NULL,N,N,N,-,N,NULL,NULL
186,1998/09/22,46,95,413,2,NULL,N,N,N,Y,N,2,3
187,1980/02/01,46,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
188,1991/08/14,46,95,0,NULL,NULL,N,N,N,Y,N,3,NULL
189,2000/04/28,46,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
190,1991/08/14,46,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
191,1992/08/13,46,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
192,1992/08/13,46,95,0,2,2,N,N,N,N,N,3,2
193,1995/08/06,46,95,0,2,3,N,N,N,Y,N,3,2
194,2013/01/01,46,95,411,NULL,NULL,N,N,N,Y,N,NULL,NULL
