Week,StoreNum,Category,Sales,Units , profit,week no,Year
201727,57,35,525.95,11,68.3735,27,2017
201727,57,50,405.15,237,-761.31,27,2017
201727,57,4,1163880.2,23524,336464.8858,27,2017
201728,57,5,204924.12,9777,54570.8601,28,2017
201728,57,2,694312.23,16482,219930.0938,28,2017
201728,57,1,1672127.84,35210,556659.5622,28,2017
201728,57,7,1629057.05,25384,665122.7473,28,2017
201728,57,4,1644840.52,39447,325235.2792,28,2017
201728,57,8,214288.31,6124,99582.1102,28,2017
201728,57,36,48943.79,547,13170.2283,28,2017
201728,57,3,412416.09,12050,151393.3827,28,2017
201728,57,50,900.48,1293,-6625.71,28,2017
201728,57,35,613,38,79.69,28,2017
201729,57,1,1933061.62,42837,554757.5103,29,2017
201729,57,8,166903.84,4011,74364.1794,29,2017
201729,57,2,733972.59,17385,238114.4952,29,2017
201729,57,5,165268.97,7421,56005.5822,29,2017
201729,57,4,1568714.42,30148,530996.1182,29,2017
201729,57,3,193212.58,4881,75227.0824,29,2017
201729,57,7,1079120.88,17547,444544.3502,29,2017
201729,57,50,676.22,68,102.88,29,2017
201729,57,35,263,6,34.19,29,2017
201729,57,36,49548.1,472,13845.9023,29,2017
201730,57,36,72444.15,624,30623.8109,30,2017
201730,57,50,585.44,60,83.87,30,2017
201730,57,1,1532471.2,23758,594317.8786,30,2017
201730,57,8,248226.16,6942,66839.3952,30,2017
201730,57,2,1148643.9,27400,325078.7205,30,2017
201730,57,35,145.4,11,18.902,30,2017
201730,57,3,187424.94,4300,71910.764,30,2017
201730,57,7,1752301.61,32580,702145.292,30,2017
201730,57,4,1425084.17,26696,470207.1506,30,2017
201730,57,5,266996.7,12913,101782.9045,30,2017
201731,57,8,172434.29,4121,83109.9193,31,2017
201731,57,35,492.95,23,64.0835,31,2017
201731,57,50,765,66,181.62,31,2017
201731,57,1,1514996.18,28051,568819.1706,31,2017
201731,57,5,249289.36,10866,80575.6068,31,2017
201731,57,4,1051926.5,21077,391903.4451,31,2017
201731,57,3,242890.36,7222,82769.6663,31,2017
201731,57,36,69426.25,574,30907.105,31,2017
201731,57,7,896565.88,13530,397659.5051,31,2017
201731,57,2,704906.27,14557,254168.2476,31,2017
201732,57,5,290222.87,13504,89541.409,32,2017
201732,57,35,422.95,35,54.9835,32,2017
201732,57,7,1278091.73,21421,510340.0699,32,2017
201732,57,2,1381711.06,30225,416869.7181,32,2017
201732,57,1,2214403.12,41774,631225.1112,32,2017
